Pub date,Pub time,Title,Article text,Comment Number 
2019-09-07,16:42,Украина и Россия обменялись заключенными,"Ранее Зеленский помиловал 12 россиян из списка на обмен.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090716423535237_dd17e15c4c81a0e991ac1aa0a1f22287__980x.jpg"">
Самолет специального летного отряда ""Россия"" Ту-204 с участниками обмена заключенными между Москвой и Киевом приземлился в аэропорту Внуково. Сколько именно россиян вернулись на родину, пока неизвестно, передает Лайф. Тем временем в киевском аэропорту Борисполь также приземлился самолет с украинскими гражданами. В конце лета Россия и Украина начали вести переговоры по вопросу одновременного освобождения осужденных и задержанных лиц. Президент РФ Владимир Путин заявил, что обмен станет ""крупным и масштабным"" и хорошим шагом вперед — к нормализации отношений между Москвой и Киевом. 6 сентября сообщалось о том, что президент Украины Владимир Зеленский издал указ о помиловании 12 членов списка на обмен.",0
2019-09-07,16:05,"Разборки по-мужски в салоне красоты, пожар и изнасилования – итоги недели","Также произошло несколько крупных ДТП.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090617400713078_whatsapp-image-2019-09-06-at-16-45-38.jpg"">
Череда изнасилований захлестнула на этой неделе Казахстан. Причем ужасные факты происходили в разных уголках страны. Помимо этого конец рабочей недели закончился масштабным пожаром в Алматы. Об этом и не только, читайте в недельном обзоре казахстанских происшествий на Zakon.kz. Изнасилования  6 сентября правозащитница Айман Умарова обратилась к Президенту Касым-Жомарту Токаеву с просьбой взять на личный контроль дело девушки, которая подверглась изнасилованию со стороны 14 мужчин в ауле Аркалыкского района Костанайской области. После этого жуткого события девочка родила. Заместитель начальника следственного управления Департамента Костанайской области подполковник полиции Канагат Шауенов, который расследовал это уголовное дело пояснил, что случай был зарегистрирован 19 апреля 2018 года в Управление полиции города Аркалыка. По данному факту было возбуждено четыре уголовных дела – по трем фактам изнасилования и факту похищения человека. В ходе расследования был проведен ряд следственных действий, в том числе назначены судебно-генетические экспертизы в отношении всех подозреваемых с целью установления отцовства ребенка. Экспертиза дала отрицательный результат в отношении всех этих лиц. Само изнасилование было заявлено спустя почти год, после того, как фельдшер обнаружила беременность девушки, - сказали в ДП. 5 сентября неизвестный мужчина пытался изнасиловать 17-летнюю учащуюся колледжа в Нур-Султане. Она примерно в 09.45 направлялась в школу, чтобы забрать брата. По дороге к ней подошел неизвестный мужчина, находивший в состоянии алкогольного опьянения. Ударив ее по лицу, он стал тащить девушку в сторону кустов. Она стала сопротивляться и звать на помощь. Ей удалось убежать. В ходе отработки территории по подозрению в совершении данного преступления по горячим следам задержан 42-летний житель столицы, который был опознан потерпевшей. Также стало известно о факте насилия в Актобе, которое произошло еще 17 августа. Девушка-сирота (выпускница детского дома) занимается уборкой квартир, готовит еду, берет частные заказы. Кроме этого, имея основную работу, подала объявление на местных сайтах в поисках подработки. Получив заказ, поехала по объявлению, но ее не выпускали до утра. Заказчик сказал, что ему еще нужен ужин и попросил приготовить, пообещал доплату. Итог плачевный. Он забрал у нее сотовый телефон, закрыл в своем доме и изнасиловал. Кроме этого, не выпускал до утра. Девушке пришлось притвориться, что она не будет жаловаться и кое-как убежала. Подала заявление в полицию. Еще один факт изнасилования, произошедшего 23 августа, всплыл на неделе. Мама 14-летней девочки обратилась за помощью общественникам. На телефон мамы девочки поступил звонок от одноклассницы, что ее дочь в бессознательном состоянии, с тяжелым алкогольным отравлением лежит возле помойки. Мама сразу выехала и попросила девочек не отходить от дочери. После этого позвонила классная руководительница сообщила тоже самое. Но самое ужасное и непонятное случилось дальше, по описанию школьниц и дворника, девочку уволокли несколько мужчин, положили в машину и увезли. Мама не успела, приехала и ее старшая дочь, вместе подняли весь район, вызвали полицию, сообщили о похищении ребенка группой лиц. Нашли, спустя почти два часа, на другом конце района снова, выброшенную на помойку. По словам матери, ребенка возможно изнасиловали. В полиции дело зарегистрировали по статье «Половое сношение или иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста». А в Шымкенте таксист жестоко избил и изнасиловал девушку. Подозреваемого до сих пор не нашли. Инцидент произошел 27 августа. Она отмечала день рождения в кафе и села в такси, которые дежурили около заведения. Но таксист начал душить ее, избивать и изнасиловал. Мужские разборки  На всю страну стал известен инцидент из барбершопа (салона красоты для мужчин). Клиент после неудачной стрижки его и сына заставил мастеров выбрить на своих головах клок волос. При этом он рьяно покрывал их бранью. В итоге, после всех разборок, мужчину привлекли к ответственности. Пожар на рынке  В Алматы в районе барахолки загорелся склад. Предварительная площадь пожара составила 2200 кв.м. Тушили огонь, как с земли, так и с воздуха. Возгорание распространялось на близлежащие склады. Лишь спустя несколько часов огонь удалось локализовать и потушить. Сводки с дорог 3 сентября 2019 около 8 утра водитель 45 маршрута, следуя по улице Отеген батыра в южном направлении (угол улицы Кабдолова) в Алматы, поворачивал направо и сбил пешехода. Женщину с обширной рвано-скальпированной раной правого бедра и голени. Госпитализирована в отделение реанимации и интенсивной терапии. Ее состояние тяжелое. Еще один наезд произошел там же, в Алматы, но уже с полицейской машиной. ТП произошло 4 сентября в Алмалинском районе города. Женщина перебегала дорогу в неположенном месте и угодила под колеса патрульного автомобиля. Ее доставили в больницу.  Смертельное ДТП произошло в Алматы на проспекте Райымбека поздним вечером 5 сентября. Со слов очевидцев, между улицами Мате Залки и Петрова Toyota вынесло на встречную полосу, где развернуло боком и в нее врезался Subaru. По всей видимости, причиной ДТП послужил дождь. Погиб водитель Toyota и один человек из Subaru. Кто именно, пока неизвестно. Еще двоих госпитализировали. Подготовила Асема Тунгушбаева",0
2019-09-07,16:04,Стоп браконьерству: В ВКО провели спецоперацию,"По версии следствия, из озера Маркаколь незаконно выловлено более тонны рыбы ленок.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090716041183549_img-20190907-wa0021.jpg"">
Озеро Маркаколь по праву можно назвать жемчужиной национального заповедника. Подпитывается оно более 80 различными речушками. Но вытекает только одна – Калжыр. В этих так называемых транзитных зонах сосредоточивается основная часть нерестовых скопление. Ленок, в простонародье ускуч, можно найти только в этом необычайном месте. Рыба из семейства лососевых, поэтому охота за икрой становиться опасным для численности такого редкого вида. Браконьеры вылавливают рыбу ленок для добычи большого количества икры. В августе этого года проведена спецоперация по пресечению деятельности организованной преступной группы. В ее состав входили и сотрудники нацпарка. По версии следствия, из озера Маркаколь незаконно выловлено более тонны рыбы ленок. Место, где были выявлены факты браконьерства, посетили заместитель акима ВКО Шалкар Байбеков, глава надзорного органа – прокурор области Кусаин Игембаев, начальник Департамента полиции ВКО Жанарбек Бактыбаев. На Маркаколь они приехали не просто так. После осмотра самого озера встретились с сотрудниками государственного природного заповедника. На встрече присутствовали руководитель управления земельных отношений и управления по контролю за использованием и охраной земель. Каждый высказал свою точку зрения и предложил пути решения проблемы браконьерства. - Была выявлена группа лиц, занимающихся браконьерством. Часть взята под стражу. Поэтому самый первый вопрос — это, конечно, исправить работу самих сотрудников охраняемой зоны. Контролировать их действия. Своевременно реагировать на правонарушения и преступления. Это самое главное сейчас, чему мы должны уделить внимания, - сказал прокурор области Кусаин Игембаев.  Но браконьеры - это не одна беда. По словам руководителя управления природных ресурсов и регулирования природопользования Восточно-Казахстанской области Мурата Кусаинова, от бакланов вреда не меньше. Одна птица в день употребляет приблизительно килограмм рыбы. - Мы непосредственно этим вопросом занимаемся. Вынесли на обсуждение в правительство. Бакланы приносят много вреда. Они могут съесть наш годовой лимит. В парламенте нас поддержали. В скором времени этот вредоносный вид пернатых включат в число регулируемых, - пояснил Мурата Кусаинов. Выслушав предложения государственных органов, в частности, по ужесточению законодательства в сфере природопользования, было решено создать рабочую группу, которая будет содействовать в решении данной проблемы. ",0
2019-09-07,15:40,Изнасилование в Костанайской области. Возобновлено дело,"Ход дела находится на контроле прокуратуры области.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090715395352035_police-378255_960_720.jpg"">
Возобновлено расследование по факту группового изнасилования в Аркалыке, сообщает Zakon.kz со ссылкой на прокуратуру Костанайской области. - 6 сентября 2019 года по указанию прокуратуры Костанайской области расследование уголовного дела по факту группового изнасилования 22-летней девушки возобновлено. Департаменту полиции поручено проведение ряда необходимых следственных действий. Ход дела находится на контроле прокуратуры области, - говорится в сообщении прокуратуры. Об инциденте стало известно на первом заседании НСОД. Правозащитница Айман Умарова рассказала Президенту Токаеву, что впоследствии девочка родила.  - Полиция даже не провела задержания по этим людям. Я хочу вас лично попросить, чтобы вы занялись этим вопросом. Вопросы, связанные с насильниками, нужно изменить судебную систему. Там должны быть честные люди, профессионалы, - сказала она тогда на заседании Нацсовета общественного доверия.",0
2019-09-07,15:29,Шестеро пострадали в ДТП на Кульджинском тракте,"Их госпитализировали.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090715283089961_20190907151606_img_8742.jpg"">
Шесть человек пострадали в ДТП на Кульджинском тракте, сообщает корреспондент Zakon.kz. Водитель Mazda 626 следовал по тракту в западном направлении в сторону города. На 17 километре ему навстречу выехал минивэн Honda Shuttle. Водитель Mazda, пытаясь избежать удара, выкрутил в сторону. Однако автомобили зацепились боками. Неуправляемые иномарки вылетели на обочину. Mazda выбросило с обочины в кювет. Водителя и пассажира Mazda, а также четверых пассажиров Honda госпитализировали с травмами различной степени тяжести.  Водитель Honda позже сообщил, что в него врезался КамАЗ, из-за чего он и потерял управление и выехал на встречную полосу. Водитель КамАЗа не остановился и поехал дальше, сообщил мужчина. ",0
2019-09-07,15:14,Алматинская и Костанайская области представили продукцию на ярмарке в столице,"Всего представлено более 100 наименований продукции в объеме 380 тонн (Костанайская обл) и 330 тонн (Алматинская обл).<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090715130643483_ef04f7da642b0a1555de1ffc1ccf7c61.jpg"">
В эти выходные на ярмарке продукцию представили Алматинская и Костанайская области, сообщает Zakon.kz. Горожане могут приобрести продукцию по ценам ниже рыночных.  Всего представлено более 100 наименований продукции в объеме 380 тонн (Костанайская область) и 330 тонн (Алматинская область).   - Стараюсь посещать такие ярмарки каждые выходные, так как всегда представлена продукция разных регионов нашей страны. Цены здесь заметно ниже. Выбор большой: от мяса до конфет. Сегодня куплю овощи, еще яблоки - ведь Алматинский регион славится ими, - сказала жительница столицы Назгуль Байтурсынова.   Сельскохозяйственные ярмарки будут идти каждые выходные до 28 октября (площадка рядом с ТРЦ ""Хан Шатыр"")   14-15 сентября: Павлодарская область; 21-22 сентября: Актюбинская и Кызылординская области; 28-29 сентября: ВКО и Атырауская области; 5-6 октября: Карагандинская область; 12-13 октября: Павлодарская область;  19-20 октября: СКО; 26-27 октября: Акмолинская область.",0
2019-09-07,15:10,Японскую императрицу госпитализировали,"Операция продлится около четырех часов.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090715102645655_5d4e72aa1f1fb.jpg"">
Японской почетной императрице Митико сделают операцию по удалению рака груди, передает Lenta.ru. В субботу, 7 сентября, 84-летнюю Митико, мать нынешнего императора Японии Нарухито, доставили в Университетскую больницу Токио для подготовки к операции по удалению злокачественной опухоли груди. В субботу у почетной императрицы возьмут все необходимые анализы, а на следующий день ее прооперируют. Ожидается, что операция продлится около четырех часов. Врачи диагностировали онкологическое заболевание на ранней стадии у Митико в июле текущего года в ходе плановой диспансеризации. До этого почетная императрица не раз жаловалась на одышку во время утренних прогулок и на резкую потерю веса. Митико Сёда, дочь президента мукомольной компании, вышла замуж за наследного принца Акихито в 1959 году. Они нарушили многовековую традицию, согласно которой члены императорской семьи женились только на представительницах аристократии. Императрицей она стала в 1989 году, когда ее муж стал императором после смерти своего отца Хирохито. У четы трое детей: сыновья Нарухито и Акисино, а также дочь Саяко. В апреле текущего года император Акихито отрекся от престола, подобного прецедента в стране не было в течение двух столетий. С 1 мая в Японии началась эра имени Рэйва - бразды правления страной перешли императору Нарухито.  ",0
2019-09-07,14:33,"Список школьных ""уроков будущего"" подготовили в России","Все вошедшие в список дисциплины нацелены на развитие индивидуальных способностей учеников.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090714332621573_work-731198_960_720.jpg"">
Институт развития интернета (ИРИ) совместно с представителями Национального исследовательского технологического университета ""МИСиС"" подготовили список школьных предметов, которые помогут детям в развитии ""компетенций будущего"" и формировании сопутствующих навыков, передает РИА Новости. Подготовка списка стала первым этапом визионерского исследования ИРИ ""Российская школа 2030"", отмечается в сообщении. Список включает 9 ""уроков будущего"": робототехника, программирование/кодирование, киберспорт, VR-архитектура и web-дизайн, квантовые технологии, основы цифровой грамотности, архитектура искусственного интеллекта, анализ и работа с большими данными, теория решения изобретательских задач (ТРИЗ). - Подготовленный перечень иллюстрирует важность развития цифровых компетенций, потребность в получении системных IT-навыков. При этом ребятам вовсе не обязательно в будущем становиться html-разработчиками или аналитиками больших данных. Приобретенные на таких уроках знания помогут школьникам состояться не просто в интеллект-индустрии, но и в любой области, - поясняется в сообщении. ИРИ отмечает, что все вошедшие в список дисциплины нацелены на развитие индивидуальных способностей учеников (мышления, памяти, логики, внимания), расширение проектной деятельности, усиление коммуникаций, обучение цифровому этикету. Так, к примеру, как указывает ИРИ, киберспорт развивает стратегическое мышление и логику, внимание, скорость реакции, командные навыки, все виды памяти; расширяет цифровой кругозор и общую компьютерную грамотность, поднимает и прокачивает навыки программирования. Робототехника развивает пространственное мышление и логику, воображение, креатив и эвристику, командные навыки и инженерное творчество; закладывает основы экспериментальной деятельности; углубляет знания по ряду предметов, дополняет знания по устройству компьютера и о программном обеспечении. Эксперты считают, что ТРИЗ или основы компьютерной грамотности позволят избежать попадания в квалификационную яму, в которой уже сегодня находятся 1,3 миллиарда работников по всему миру и 34 миллиона граждан в России. - В целом, такие занятия грамотно скоординируют не только представления о виртуальном мире, но и всегда пригодятся на практике, - отмечает ИРИ. - Сегодня мы являемся свидетелями коренных изменений в обществе: почти не осталось тех сфер, которые бы не затронула цифровая трансформация. Чем быстрее происходит этот процесс, тем отчетливее встает острая необходимость в профессиональных кадрах. По прогнозам экспертов, в течение ближайших 10 лет России понадобится 2 миллиона только IT-специалистов. Именно поэтому в программе нацпроекта ""Образование"" огромное внимание уделяется формированию и развитию современной цифровой образовательной среды, которая поможет создать условия для развития людей, поле возможностей, в котором талантам будет где развернуться. Форсайт-исследование ИРИ помогает получить представление о том, какие компетенции необходимо развивать сейчас, чтобы быть успешным в цифровой экономике будущего, – приводятся в сообщении слова гендиректора ИРИ Сергея Петрова.",0
2019-09-07,14:25,Четверо пострадали при столкновении авто с верблюдом в Мангистау,"Двое из них – 14-летний подросток и 11-летний ребенок. У них диагностированы ушибленные раны лба и мягких тканей головы.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090714250945998_glass-582689_960_720.jpg"">
Авария произошла на трассе Актау - Жанаозен, в 10 километрах от поселка Жетыбай. Пострадали четыре человека. Об этом пишет ""Лада"", передает Zakon.kz. ДТП с участием Nissan Almera и верблюдом произошло 6 сентября примерно в 20:40. Всех пострадавших доставили в Жетыбайскую сельскую больницу. Двое из них – 14-летний подросток и 11-летний ребенок. У них диагностированы ушибленные раны лба и мягких тканей головы.  - Пострадали также 51-летняя женщина и 53-летний мужчина. У женщины диагностированы закрытая черепно-мозговая травма (ЗЧМТ) и сотрясение головного мозга (СГМ), а также ушибленные раны лба и левой кисти. Ее направили в Мангистаускую областную больницу. У мужчины – СГМ лёгкой степени. Ему и детям было назначено амбулаторное лечение, - пояснили в пресс-службе управления здравоохранения. По данному факту был составлен протокол по статье 610 Кодекса об административных правонарушениях Республики Казахстан. Ведутся поиски хозяина животного.  ",0
2019-09-07,14:05,26 неожиданных фотографий политиков,"Джастин Трюдо в молодости был настоящим диснеевским принцем, а Сильвио Берлускони был певцом.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090713594340711_polititians18.jpg"">
Известные политики днем и ночью находятся под прицелом фотокамер, и кажется, что мы знаем о них абсолютно все. Однако до того, как прийти к власти, они жили обычной жизнью, как мы с вами.  И у каждого из них сохранилось много фотографий, которые сегодня не публикуют на первых полосах. Кто бы мог подумать, что Джастин Трюдо в молодости был настоящим диснеевским принцем, а Сильвио Берлускони был певцом. В этой подборке фотографии известных политиков.  Джастин Трюдо  Владимир Путин  Иосиф Сталин  Борис Ельцин  Михаил Горбачев  Эммануэль Макрон  Владислав Сурков  Дмитрий Медведев  Теодор Рузвельт  Мартин Лютер Кинг  Александр Лукашенко  Валентина Матвиенко  Барак Обама  Сильвио Берлускони  Хиллари Клинтон  Джордж Буш — младший  Николя Саркози  Дональд Трамп  Ангела Меркель  Борис Джонсон  Тони Блэр  Колинда Грабар-Китарович  Тереза Мэй  Джон Маккейн  Фидель Кастро  Папа римский Франциск Источник: Bigpicture",0
2019-09-07,13:32,Осужден бывший руководитель отдела Управления строительства Алматинской области,"Его пожизненно лишили права занимать должности на госслужбе.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090713324479370_hands-1655520_960_720.jpg"">
За взятки к 8 годам лишения свободы осужден бывший руководитель отдела Управления строительства Алматинской области, сообщает Zakon.kz со ссылкой на Антикоррупционную службу. Проведенное антикоррупционной службой Алматинской области досудебное расследование в отношении бывшего руководителя юридического отдела ГУ ""Управление строительства Алматинской области"" Бисерік Е.Б. установило его вину в получении взятки в размере свыше 1,5 млн тенге от руководства частной компании за продление срока отправления заявки на включение в реестр недобросовестных участников госзакупок, завладении мошенническим путем денежными средствами компании в размере 3,5 млн тенге, покушении на хищение денежных средств в размере 8,5 млн тенге, а также неоднократного подстрекательства к даче взятки судьям специализированного экономического суда в размере свыше 3,5 млн тенге и руководителю Управления строительства области в размере 8,5 млн тенге. 6 сентября 2019 года Талдыкорганский городской суд за получение взятки и подстрекательство к даче взятки, мошенничество назначил Бисерік наказание в виде лишения свободы сроком на 8 лет, с пожизненным лишением права занимать должности на государственной службе.",0
2019-09-07,13:25,Подводная обсерватория таинственно исчезла со дна Балтийского моря,"Отправленные к станции дайверы обнаружили вместо неё остатки порванного кабеля для передачи данных.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090713244343019_11.png"">
Немецкая подводная обсерватория, которая использовалась для сбора научных данных, пропала со дна Балтийского моря. Об этом говорится на сайте Центра океанических исследований имени Гельмгольца GEOMAR, передает Life. Станцию установили в декабре 2016 года у побережья Германии в запретной для судоходства зоне, ее стоимость составила около 300 тысяч евро (около 132 млн тенге).  Undersea science observatory mysteriously vanishes from seabed https://t.co/4LrHchdCtS @cbc Geomar observatory was 740 kilograms and moored by thick cables 22 metres below surface. pic.twitter.com/rP25CUPWde — Lukas VF Novak (@animalculum) September 6, 2019 Пропажу заметили 21 августа, когда с обсерваторией была утрачена связь. Отправленные к станции дайверы обнаружили вместо нее остатки порванного кабеля для передачи данных. Специалисты исключили версию, что обсерваторию могло унести течением, а также версию с морскими животными, поскольку два блока станции весили 520 и 220 кг. Расследованием занялась местная полиция.",0
2019-09-07,13:19,В двух районах Алматы отключат холодную воду,"Кратковременное ограничение холодной воды связано с необходимостью​ замены запорной арматуры на объектах водоснабжения.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090713190414969_tap-791172_960_720.jpg"">
Ряд зданий и домостроений в Бостандыкском и Наурызбайском районах Алматы на ночь отключат от ​холодной воды, сообщает Zakon.kz со ссылкой на ГКП ""Алматы су"". С 23 часов 7 сентября ​ до 6 часов утра 8 сентября​ будет временно прекращена подача холодной воды в жилые дома и иные объекты, расположенные на территории Бостандыкского и Наурызбайского районов. В их числе ЖК ""Хан Тенгри, ЖК ""Аль-Фараби"", мкр. Санаторий Алматы дома 1,2,3,4,5 , ул. Байкенова дом 7, частные дома расположенные в мкр.Каргалы по улицам Кенесары хана, Байкенова, Каргалы 2, Каргалы 1. Санаторий ""ОКЖЕТПЕС АЛМАТЫ"" Кратковременное ограничение холодной воды связано с необходимостью​ замены запорной арматуры на объектах водоснабжения. Жителей районов попросили с пониманием отнестись к временным неудобствам. Телефон для справок: 274-66-66.",0
2019-09-07,12:41,Заворотнюк расскажет о состоянии своего здоровья,"Ранее актриса оставила без ответа вопрос журналиста о ее здоровье на фоне слухов о том, что она борется с онкологическим заболеванием.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090712415042535_23.jpg"">
Заслуженная артистка России Анастасия Заворотнюк расскажет о состоянии своего здоровья в ближайшее время. Об этом сообщил ее концертный директор Стас Христов, передает Lenta.ru. По словам Христова, Заворотнюк даст интервью в эфире одного из центральных телеканалов. На данный момент артистка выбирает более подходящие условия. - Это не слух, в ближайшее время программу с ее участием проанонсируют. Но пока что я не собираюсь это комментировать, - сказал он. Ранее актриса оставила без ответа вопрос журналиста о ее здоровье на фоне слухов о том, что она борется с онкологическим заболеванием. В конце августа стало известно, что Заворотнюк отменила спектакли в театре и с апреля не появлялась на светских мероприятиях. Журналисты решили, что 48-летняя звезда сериала ""Моя прекрасная няня"" борется с раком, однако представитель актрисы заявил, что она занимается оформлением гражданства США своим детям.",0
2019-09-07,12:28,Япония переживает нашествие тайфунов,"Непогода грозит и японской столице.<img src=""//static.zakon.kz/uploads/posts/2019-09/pic_690/2019090712280790801_tsunami-3638845_960_720.jpg"">
Мощный тайфун Lingling, который движется на север к Окинавским островам, оставил около 20 тысяч семей без электричества. В то же время, к Токио приближается тропический шторм ""Факсай"", сообщает РИА Новости. В городе Миякодзима 80% домов лишились электричества из-за тайфуна. Власти планировали провести эвакуацию, но отменили ее, когда в два часа ночи Lingling двинулся дальше, в сторону Окинавских островов. Сообщается, что волны достигают восьми метров, а ветер усилился до 23 метров в секунду. Непогода грозит и японской столице. Тропический шторм ""Факсай"" смещается над акваторией Тихого океана в северо-западном направлении со скоростью 32 километров в час. По предварительным данным, шторм продолжит двигаться и достигнет стадии тайфуна. Предполагается, что девятого сентября ""Факсай"" дойдет до Токио, а затем развернется на северо-восток и уйдет в Тихий океан.  ",0
